school,schoolname,postalcode,address,telephone,lat,lon,public,district,city,100_Total,101_Total,102_Total,103_Total,104_Total,106_Total,107_Total,108_Total,109_Total
國小,文化國小,112.0,臺北市北投區文化里文化三路1號,02-2893-3828,25.137188,121.496154,1,北投區,台北市,1650.0,1645.0,1627.0,1445.0,1582.0,1529.0,1512.0,1499.0,1489.0
國小,百齡國小,111.0,臺北市士林區福中里福港街205號,02-2881-7683,25.0862066,121.5178502,1,士林區,台北市,1667.0,1590.0,1539.0,1412.0,1458.0,1405.0,1442.0,1447.0,1466.0
國小,民權國小,105.0,臺北市松山區民權東路四段200號,02-2765-2327,25.0625251,121.562292,1,松山區,台北市,1526.0,1412.0,1347.0,1244.0,1264.0,1272.0,1340.0,1393.0,1422.0
國小,幸安國小,106.0,臺北市大安區民炤里仁愛路3段22號,02-2707-4191,25.037684,121.5349702,1,大安區,台北市,1450.0,1358.0,1305.0,1194.0,1321.0,1349.0,1412.0,1426.0,1418.0
國小,龍安國小,106.0,臺北市大安區龍門里新生南路3段33號,02-2363-2077,25.0239215,121.5348854,1,大安區,台北市,1531.0,1375.0,1351.0,1237.0,1374.0,1349.0,1401.0,1420.0,1403.0
國小,內湖國小,114.0,臺北市內湖區港富里內湖路二段41號,02-2799-8085,25.0791258,121.5802392,1,內湖區,台北市,1860.0,1725.0,1632.0,1485.0,1518.0,1489.0,1510.0,1432.0,1371.0
國小,南港國小,115.0,臺北市南港區三重里惠民街67號,02-2783-4678,25.057689,121.6101081,1,南港區,台北市,1171.0,1199.0,1191.0,1082.0,1239.0,1296.0,1308.0,1339.0,1367.0
國小,市大附小,100.0,臺北市中正區黎明里公園路29號,02-2311-0395,25.0360732,121.5152463,1,中正區,台北市,,,1408.0,1294.0,1423.0,1407.0,1385.0,1379.0,1351.0
國小,關渡國小,112.0,臺北市北投區一德里中央北路4段581號,02-2891-2847,25.126608,121.466232,1,北投區,台北市,1234.0,1159.0,1110.0,1015.0,1081.0,1091.0,1163.0,1231.0,1324.0
國小,西松國小,105.0,臺北市松山區東光里三民路5號,02-2760-9221,25.0522116,121.5636714,1,松山區,台北市,1544.0,1343.0,1188.0,1093.0,1103.0,1148.0,1236.0,1277.0,1294.0
國小,社子國小,111.0,臺北市士林區永倫里延平北路六段308號,02-2812-6195,25.090006,121.502691,1,士林區,台北市,1609.0,1462.0,1382.0,1265.0,1262.0,1201.0,1240.0,1260.0,1266.0
國小,麗湖國小,114.0,臺北市內湖區金湖路363巷8號,02-2634-3888,25.072992,121.601146,1,內湖區,台北市,1344.0,1317.0,1278.0,1120.0,1239.0,1168.0,1202.0,1240.0,1251.0
"國小,幼兒園,一般,公立",鄧公國小,25143.0,新北市淡水區學府路99號,02-26297121#110,25.171312,121.449292,1,淡水區,新北市,1912.0,1791.0,1648.0,1465.0,1452.0,1327.0,1314.0,1301.0,1247.0
國小,麗山國小,114.0,臺北市內湖區港都里港華街100號,02-2657-4158,25.0836791,121.5724649,1,內湖區,台北市,1147.0,1049.0,1024.0,939.0,988.0,1021.0,1094.0,1180.0,1238.0
國小,古亭國小,106.0,臺北市大安區古風里羅斯福路3段201號,02-2363-9795,25.0205827,121.5287775,1,大安區,台北市,1351.0,1189.0,1029.0,1024.0,946.0,990.0,1062.0,1158.0,1210.0
國小,金華國小,106.0,臺北市大安區永康里愛國東路79巷11號,02-2391-7402,25.0322754,121.527675,1,大安區,台北市,1284.0,1226.0,1212.0,1101.0,1209.0,1208.0,1206.0,1215.0,1208.0
國小,大安國小,106.0,臺北市大安區芳和里臥龍街129號,02-2732-2332,25.0200093,121.549095,1,大安區,台北市,1526.0,1369.0,1293.0,1214.0,1147.0,1042.0,1089.0,1118.0,1199.0
國小,力行國小,116.0,臺北市文山區樟腳里木新路3段155巷7號,02-2936-3995,24.9809691,121.5611618,1,文山區,台北市,1383.0,1336.0,1309.0,1153.0,1297.0,1285.0,1277.0,1250.0,1192.0
國小,永安國小,104.0,臺北市中山區明水路397巷19弄1號,02-2533-5672,25.0787761,121.5494063,1,中山區,台北市,1213.0,1135.0,1075.0,942.0,1018.0,991.0,1031.0,1080.0,1185.0
國小,北投國小,112.0,臺北市北投區長安里中央北路1段73號,02-2891-2052,25.1342551,121.5003095,1,北投區,台北市,1768.0,1554.0,1411.0,1308.0,1282.0,1137.0,1159.0,1159.0,1153.0
國小,私立光仁小學,108.0,臺北市萬華區壽德里萬大路423巷15號,02-2303-2874,25.0214164,121.4995713,0,萬華區,台北市,1160.0,1164.0,1142.0,966.0,1129.0,1133.0,1118.0,1144.0,1137.0
國小,新生國小,106.0,臺北市大安區新生南路二段36號,02-2391-3122,25.0298199,121.53362,1,大安區,台北市,1083.0,1073.0,1071.0,973.0,1081.0,1064.0,1059.0,1072.0,1104.0
"國小,幼兒園,一般,公立",淡水國小,25151.0,新北市淡水區中山路160號,02-26212755#111,25.173375,121.441362,1,淡水區,新北市,991.0,953.0,786.0,759.0,719.0,781.0,854.0,954.0,1086.0
國小,長春國小,104.0,臺北市中山區中央里長春路165號,02-2502-4366,25.0549363,121.5339007,1,中山區,台北市,1152.0,1073.0,1005.0,927.0,926.0,948.0,1038.0,1031.0,1085.0
國小,葫蘆國小,111.0,臺北市士林區環河北路3段95號,02-2812-9586,25.0837421,121.5069631,1,士林區,台北市,1209.0,1186.0,1164.0,1062.0,1201.0,1125.0,1116.0,1106.0,1083.0
國小,興雅國小,110.0,臺北市信義區雅祥里基隆路1段83巷9號,02-2761-8156,25.046751,121.5700216,1,信義區,台北市,1413.0,1290.0,1164.0,1070.0,1050.0,1010.0,1046.0,1069.0,1064.0
國小,國立北教大實小,106.0,臺北市大安區龍淵里和平東路2段94號,02-2735-6186,25.0250425,121.540946,1,大安區,台北市,1032.0,1032.0,1052.0,935.0,1078.0,1058.0,1040.0,1030.0,1035.0
國小,康寧國小,114.0,臺北市內湖區清白里星雲街121號,02-2790-1237,25.080037,121.5950035,1,內湖區,台北市,1210.0,1154.0,1042.0,967.0,970.0,945.0,968.0,1012.0,1032.0
國小,五常國小,104.0,臺北市中山區下埤里五常街16號,02-2502-3416,25.0641393,121.5422023,1,中山區,台北市,1216.0,1122.0,1073.0,981.0,967.0,950.0,949.0,988.0,1029.0
國小,民族國小,105.0,臺北市松山區民生東路4段97巷7號,02-2712-4872,25.0594726,121.5518154,1,松山區,台北市,777.0,719.0,660.0,631.0,606.0,698.0,798.0,941.0,1024.0
國小,士東國小,111.0,臺北市士林區蘭雅里中山北路6段392號,02-2871-0064,25.1129301,121.526828,1,士林區,台北市,872.0,856.0,813.0,763.0,867.0,905.0,954.0,1007.0,1023.0
國小,健康國小,105.0,臺北市松山區延壽街168號,02-2528-2814,25.0566674,121.5627846,1,松山區,台北市,1012.0,974.0,976.0,888.0,1050.0,1060.0,1038.0,1018.0,1022.0
國小,胡適國小,115.0,臺北市南港區中研里舊莊街1段1號,02-2782-4949,25.0423894,121.6172346,1,南港區,台北市,1070.0,946.0,888.0,835.0,828.0,836.0,927.0,978.0,1007.0
國小,吉林國小,104.0,臺北市中山區中原里長春路116號,02-2521-9196,25.054721,121.5296301,1,中山區,台北市,1062.0,1022.0,965.0,895.0,924.0,908.0,935.0,966.0,1000.0
國小,雙蓮國小,103.0,臺北市大同區民權里錦西街51號,02-2557-0309,25.060161,121.5166898,1,大同區,台北市,1050.0,971.0,911.0,866.0,866.0,886.0,912.0,926.0,968.0
"國小,幼兒園,一般,公立",新市國小,251.0,新北市淡水區中山北路2段200號,02-26262141,25.186023,121.444509,1,淡水區,新北市,,,500.0,411.0,779.0,933.0,984.0,976.0,966.0
國小,士林國小,111.0,臺北市士林區福德里大東路165號,02-2881-2231,25.0932987,121.5248831,1,士林區,台北市,1526.0,1424.0,1316.0,1236.0,1152.0,1009.0,966.0,944.0,948.0
"國小,幼兒園,一般,公立",竹圍國小,251.0,新北市淡水區中正東路2段145號,02-28091475#9,25.147533,121.460248,1,淡水區,新北市,1123.0,1074.0,989.0,920.0,950.0,895.0,910.0,934.0,946.0
國小,私立華興小學,111.0,臺北市士林區芝山里仰德大道1段101號,02-2831-6834,25.104979,121.538443,0,士林區,台北市,913.0,921.0,930.0,809.0,946.0,951.0,943.0,946.0,945.0
國小,景興國小,116.0,臺北市文山區興安里景華街150巷21號,02-2932-9439,24.9964339,121.5482935,1,文山區,台北市,1206.0,1106.0,1064.0,984.0,985.0,936.0,914.0,915.0,917.0
國小,碧湖國小,114.0,臺北市內湖區內湖里金龍路100號,02-2790-7161,25.0853115,121.5911103,1,內湖區,台北市,1172.0,1068.0,1005.0,935.0,948.0,900.0,935.0,911.0,910.0
國小,新湖國小,114.0,臺北市內湖區湖興里民權東路6段138號,02-2796-3721,25.068804,121.5887456,1,內湖區,台北市,1011.0,923.0,836.0,769.0,790.0,768.0,777.0,804.0,842.0
國小,中正國小,104.0,臺北市中山區力行里龍江路62號,02-2507-0932,25.05049,121.5400725,1,中山區,台北市,914.0,778.0,691.0,644.0,603.0,603.0,656.0,738.0,827.0
國小,吳興國小,110.0,臺北市信義區松仁路226號,02-2720-0226,25.0257433,121.568716,1,信義區,台北市,1279.0,1159.0,1031.0,988.0,916.0,847.0,815.0,856.0,825.0
國小,信義國小,110.0,臺北市信義區松勤街60號,02-2720-4005,25.0318599,121.563206,1,信義區,台北市,893.0,820.0,788.0,711.0,838.0,810.0,823.0,829.0,817.0
國小,大龍國小,103.0,臺北市大同區保安里哈密街47號,02-2594-2635,25.073409,121.5166925,1,大同區,台北市,748.0,731.0,879.0,812.0,827.0,815.0,807.0,823.0,806.0
國小,西園國小,108.0,臺北市萬華區日善里東園街73巷65號,02-2303-0257,25.0266629,121.4988835,1,萬華區,台北市,835.0,816.0,770.0,724.0,745.0,715.0,745.0,779.0,803.0
國小,福德國小,110.0,臺北市信義區中行里褔德街253號,02-2727-7992,25.0388994,121.5865035,1,信義區,台北市,1107.0,1035.0,932.0,847.0,835.0,805.0,804.0,806.0,793.0
國小,三玉國小,111.0,臺北市士林區三玉里天母東路116號,02-2875-1369,25.117932,121.53712,1,士林區,台北市,1015.0,959.0,918.0,825.0,880.0,833.0,825.0,807.0,792.0
國小,萬興國小,116.0,臺北市文山區萬興里秀明路2段114號,02-2938-1721,24.9904294,121.5765927,1,文山區,台北市,779.0,760.0,748.0,684.0,755.0,728.0,751.0,802.0,771.0
國小,明德國小,112.0,臺北市北投區榮華里明德路190號,02-2822-9651,25.1121226,121.5217881,1,北投區,台北市,749.0,694.0,652.0,601.0,613.0,611.0,636.0,718.0,770.0
國小,志清國小,116.0,臺北市文山區景仁里景福街21巷5號,02-2932-3875,24.9986645,121.5389076,1,文山區,台北市,726.0,717.0,683.0,645.0,698.0,708.0,724.0,762.0,769.0
國小,日新國小,103.0,臺北市大同區星明里太原路151號,02-2558-4819,25.054494,121.5165179,1,大同區,台北市,919.0,814.0,775.0,714.0,684.0,658.0,710.0,764.0,768.0
國小,木柵國小,116.0,臺北市文山區木柵里木柵路3段191號,02-2939-1234,24.9902695,121.5701489,1,文山區,台北市,1026.0,929.0,876.0,831.0,786.0,738.0,761.0,769.0,765.0
國小,私立新民小學,106.0,臺北市大安區龍坡里辛亥路1段113號,02-2363-0450,25.022496,121.532115,0,大安區,台北市,976.0,939.0,868.0,775.0,737.0,710.0,737.0,728.0,734.0
國小,萬大國小,108.0,臺北市萬華區全德里萬大路346號,02-2303-7654,25.0229842,121.4993232,1,萬華區,台北市,1133.0,1036.0,943.0,885.0,860.0,768.0,770.0,760.0,733.0
國小,福星國小,108.0,臺北市萬華區福星里中華路一段66號,02-2314-4668,25.0467829,121.5089051,1,萬華區,台北市,778.0,728.0,690.0,660.0,676.0,672.0,693.0,702.0,722.0
國小,松山國小,105.0,臺北市松山區八德路四段746號,02-2767-2907,25.0500085,121.5774764,1,松山區,台北市,720.0,680.0,617.0,572.0,592.0,638.0,673.0,710.0,710.0
國小,南門國小,100.0,臺北市中正區南門里廣州街6號,02-2371-5052,25.0352657,121.5090687,1,中正區,台北市,699.0,673.0,626.0,590.0,576.0,644.0,668.0,683.0,710.0
國小,大直國小,104.0,臺北市中山區大直里大直街2號,02-2533-3953,25.0804934,121.5460971,1,中山區,台北市,784.0,761.0,713.0,667.0,703.0,694.0,679.0,673.0,709.0
國小,蓬萊國小,103.0,臺北市大同區星明里寧夏路35號,02-2556-9835,25.0563873,121.5157097,1,大同區,台北市,622.0,654.0,687.0,619.0,731.0,716.0,719.0,710.0,704.0
國小,溪口國小,116.0,臺北市文山區景慶里景福街225號,02-2935-0955,24.99413,121.5387574,1,文山區,台北市,803.0,750.0,726.0,684.0,690.0,628.0,644.0,678.0,696.0
國小,實踐國小,116.0,臺北市文山區樟文里忠順街1段4號,02-2936-0725,24.9837272,121.5576388,1,文山區,台北市,1024.0,910.0,843.0,787.0,744.0,661.0,703.0,697.0,692.0
國小,景美國小,116.0,臺北市文山區景行里景文街108號,02-2932-2151,24.9895266,121.5407811,1,文山區,台北市,692.0,703.0,706.0,642.0,713.0,697.0,706.0,692.0,692.0
國小,東園國小,108.0,臺北市萬華區全德里東園街195號,02-2303-4803,25.023163,121.4978675,1,萬華區,台北市,736.0,709.0,688.0,671.0,660.0,681.0,687.0,711.0,686.0
國小,興隆國小,116.0,臺北市文山區興望里福興路2號,02-2932-3131,25.0024355,121.5518875,1,文山區,台北市,744.0,691.0,643.0,610.0,632.0,596.0,625.0,669.0,683.0
國小,立農國小,112.0,臺北市北投區立農里立農街1段250號,02-2821-0702,25.119488,121.505031,1,北投區,台北市,742.0,673.0,621.0,592.0,562.0,562.0,586.0,638.0,680.0
國小,三興國小,110.0,臺北市信義區景聯里基隆路2段99號,02-2738-5488,25.029467,121.558267,1,信義區,台北市,864.0,806.0,741.0,710.0,662.0,612.0,612.0,642.0,645.0
"一般,國小,私立",聖心國小,249.0,新北市八里區龍米路一段261號,02-26182330,25.134216,121.450367,0,八里區,新北市,674.0,660.0,644.0,566.0,677.0,661.0,654.0,643.0,635.0
國小,永樂國小,103.0,臺北市大同區南芳里延平北路2段266號,02-2553-4882,25.061261,121.511118,1,大同區,台北市,866.0,806.0,717.0,706.0,634.0,614.0,622.0,618.0,616.0
國小,新和國小,108.0,臺北市萬華區西藏路125巷31號,02-2303-8298,25.0259828,121.5033372,1,萬華區,台北市,832.0,774.0,706.0,647.0,596.0,548.0,556.0,578.0,610.0
"國小,幼兒園,一般,公立",天生國小,251.0,新北市淡水區淡海路72巷26號,02-28052695#834,25.18156,121.424287,1,淡水區,新北市,656.0,610.0,551.0,510.0,473.0,492.0,485.0,547.0,610.0
國小,雙園國小,108.0,臺北市萬華區雙園里莒光路315號,02-2306-1893,25.0303916,121.4982608,1,萬華區,台北市,693.0,640.0,558.0,574.0,556.0,570.0,603.0,596.0,608.0
國小,大湖國小,114.0,臺北市內湖區大湖里大湖山莊街170號,02-2791-5870,25.0881206,121.6004795,1,內湖區,台北市,700.0,604.0,544.0,508.0,516.0,492.0,503.0,581.0,606.0
國小,永建國小,116.0,臺北市文山區木柵路四段159巷14-1號,02-2236-3855,24.9875796,121.5500432,1,文山區,台北市,620.0,578.0,516.0,464.0,468.0,482.0,547.0,584.0,597.0
國小,成德國小,115.0,臺北市南港區聯成里東新街65號,02-2785-1376,25.0468798,121.5869084,1,南港區,台北市,617.0,567.0,537.0,510.0,510.0,487.0,506.0,519.0,589.0
國小,雨農國小,111.0,臺北市士林區名山里忠義街1號,02-2832-9700,25.105282,121.52946,1,士林區,台北市,748.0,710.0,645.0,606.0,608.0,567.0,574.0,593.0,585.0
國小,河堤國小,100.0,臺北市中正區汀州路二段180號,02-2367-7144,25.0232298,121.522699,1,中正區,台北市,534.0,485.0,472.0,448.0,445.0,448.0,489.0,535.0,582.0
國小,長安國小,104.0,臺北市中山區興亞里吉林路15號,02-2561-7600,25.0497694,121.5301634,1,中山區,台北市,600.0,551.0,515.0,484.0,459.0,426.0,443.0,501.0,576.0
國小,福林國小,111.0,臺北市士林區福志里福志路75號,02-2831-6293,25.0986884,121.5295965,1,士林區,台北市,643.0,586.0,591.0,553.0,573.0,552.0,569.0,603.0,574.0
"國小,幼兒園,一般,公立",文化國小,251.0,25164新北市淡水區真理街6號,02-26212031#811,25.173965,121.437381,1,淡水區,新北市,1080.0,1022.0,867.0,821.0,706.0,581.0,545.0,562.0,565.0
國小,濱江國小,104.0,臺北市中山區樂群二路266巷99號,02-8502-1571,25.0780014,121.5616369,1,中山區,台北市,650.0,639.0,601.0,555.0,575.0,530.0,522.0,543.0,563.0
國小,永吉國小,110.0,臺北市信義區永春里松山路287巷5號,02-8785-8111,25.0430088,121.5798853,1,信義區,台北市,766.0,661.0,574.0,563.0,497.0,460.0,485.0,532.0,562.0
"國小,幼兒園,一般,公立",八里國小,249.0,新北市八里區中山路二段338號,02-26102217,25.149515,121.403031,1,八里區,新北市,1025.0,940.0,832.0,804.0,679.0,562.0,541.0,576.0,561.0
"國小,幼兒園,一般,公立",大崁國小,249.0,新北市八里區忠八街2號,02-86305678#159,25.160305,121.419406,1,八里區,新北市,714.0,651.0,563.0,531.0,529.0,500.0,532.0,562.0,557.0
國小,東新國小,115.0,臺北市南港區東新里興南街62號,02-2783-7577,25.0554594,121.6022189,1,南港區,台北市,720.0,641.0,559.0,547.0,524.0,494.0,500.0,544.0,556.0
國小,銘傳國小,106.0,臺北市大安區農場里羅斯褔路四段21號,02-2363-9815,25.0261583,121.5427093,1,大安區,台北市,506.0,444.0,395.0,379.0,349.0,368.0,400.0,461.0,555.0
國小,玉成國小,115.0,臺北市南港區西新里向陽路31號,02-2783-6049,25.0535818,121.5947692,1,南港區,台北市,604.0,549.0,517.0,488.0,515.0,478.0,506.0,521.0,545.0
國小,私立中山小學,116.0,臺北市文山區木柵路1段292號,02-2936-0935,24.988306,121.556326,0,文山區,台北市,544.0,522.0,500.0,425.0,534.0,499.0,492.0,489.0,532.0
國小,永春國小,110.0,臺北市信義區永春里松山路225巷48號,02-2764-1314,25.0446527,121.5790792,1,信義區,台北市,763.0,679.0,580.0,559.0,514.0,490.0,485.0,496.0,524.0
國小,太平國小,103.0,臺北市大同區南芳里延平北路2段239號,02-2553-2229,25.061412,121.511472,1,大同區,台北市,598.0,545.0,506.0,473.0,474.0,478.0,513.0,514.0,505.0
國小,西門國小,108.0,臺北市萬華區西門里成都路98號,02-2311-3519,25.043172,121.5035971,1,萬華區,台北市,573.0,536.0,489.0,478.0,438.0,396.0,397.0,450.0,499.0
國小,修德國小,115.0,臺北市南港區東新街118巷86號,02-2788-0500,25.0455318,121.5896359,1,南港區,台北市,610.0,544.0,518.0,484.0,447.0,457.0,478.0,491.0,499.0
國小,三民國小,105.0,臺北市松山區莊敬里民權東路五段1號,02-2764-6080,25.0631782,121.5642857,1,松山區,台北市,423.0,388.0,347.0,389.0,392.0,415.0,432.0,472.0,497.0
國小,潭美國小,114.0,臺北市內湖區行善路179號,02-2791-7334,25.0603451,121.5905901,1,內湖區,台北市,317.0,295.0,266.0,255.0,262.0,259.0,334.0,425.0,485.0
"國小,國中,綜合高中,一般,私立",淡江高中,251.0,新北市淡水區真理街26號,02-26203850#164,25.175059,121.43583,0,淡水區,新北市,293.0,344.0,336.0,289.0,420.0,440.0,440.0,446.0,480.0
國小,老松國小,108.0,臺北市萬華區福音里桂林路64號,02-2336-1266,25.038046,121.502725,1,萬華區,台北市,700.0,644.0,601.0,555.0,535.0,452.0,472.0,491.0,479.0
國小,螢橋國小,100.0,臺北市中正區螢雪里詔安街29號,02-2305-4620,25.0250745,121.514332,1,中正區,台北市,558.0,529.0,508.0,480.0,512.0,501.0,518.0,567.0,476.0
國小,私立立人國際國民中小學,106.0,臺北市大安區義榮里安和路二段99號,02-2736-1388,25.029802,121.551908,0,大安區,台北市,352.0,325.0,329.0,283.0,392.0,436.0,423.0,458.0,469.0
國小,清江國小,112.0,臺北市北投區奇岩里公館路220號,02-2891-2764,25.1269568,121.5076634,1,北投區,台北市,511.0,468.0,447.0,421.0,411.0,392.0,430.0,424.0,469.0
國小,逸仙國小,112.0,臺北市北投區中心里新民路2號,02-2891-4537,25.138367,121.505155,1,北投區,台北市,674.0,615.0,556.0,536.0,473.0,449.0,457.0,438.0,463.0
國小,萬福國小,116.0,臺北市文山區羅斯福5段170巷32號,02-2935-3123,25.0048928,121.5367124,1,文山區,台北市,681.0,613.0,552.0,518.0,500.0,457.0,457.0,458.0,459.0
國小,西湖國小,114.0,臺北市內湖區西湖里環山路1段25號,02-2797-1267,25.0838299,121.5656995,1,內湖區,台北市,583.0,509.0,476.0,463.0,444.0,422.0,430.0,440.0,458.0
國小,蘭雅國小,111.0,臺北市士林區蘭興里磺溪街57號,02-2836-6052,25.1084096,121.5231371,1,士林區,台北市,455.0,430.0,421.0,374.0,430.0,400.0,399.0,415.0,457.0
國小,大理國小,108.0,臺北市萬華區綠堤里艋舺大道389號,02-2306-4311,25.031305,121.4939132,1,萬華區,台北市,686.0,633.0,596.0,548.0,523.0,486.0,491.0,464.0,453.0
國小,興華國小,116.0,臺北市文山區興光里興隆路3段125巷6號,02-2239-3070,24.9988344,121.5587218,1,文山區,台北市,763.0,692.0,604.0,576.0,525.0,462.0,451.0,448.0,444.0
國小,萬芳國小,116.0,臺北市文山區萬芳里萬和街1號,02-2230-1232,25.0013132,121.5677338,1,文山區,台北市,786.0,703.0,640.0,589.0,567.0,496.0,472.0,444.0,437.0
國小,劍潭國小,111.0,臺北市士林區明勝里通河街16號,02-2885-5491,25.0799466,121.5229841,1,士林區,台北市,440.0,429.0,401.0,388.0,419.0,430.0,427.0,432.0,436.0
國小,延平國小,103.0,臺北市大同區大龍街187巷1號,02-2594-2439,25.0660466,121.5124544,1,大同區,台北市,670.0,610.0,572.0,528.0,522.0,376.0,371.0,361.0,430.0
國小,芝山國小,111.0,臺北市士林區芝山里德行東路285號,02-2831-6115,25.110293,121.536413,1,士林區,台北市,599.0,532.0,483.0,446.0,428.0,402.0,408.0,392.0,416.0
國小,大同國小,103.0,臺北市大同區蓬萊里大龍街51號,02-2596-5407,25.0652808,121.5161749,1,大同區,台北市,378.0,356.0,358.0,326.0,328.0,342.0,378.0,379.0,395.0
國小,私立奎山中學附小,112.0,臺北市北投區榮華里明德路200號,02-2821-2009,25.112967,121.522222,0,北投區,台北市,342.0,344.0,343.0,305.0,355.0,350.0,357.0,351.0,393.0
國小,文昌國小,111.0,臺北市士林區文林路615巷20號,02-2836-5411,25.099401,121.521359,1,士林區,台北市,276.0,267.0,243.0,238.0,239.0,240.0,278.0,343.0,389.0
國小,懷生國小,104.0,臺北市中山區埤頭里安東街16巷2號,02-2771-0846,25.0452404,121.5417844,1,中山區,台北市,412.0,349.0,273.0,276.0,239.0,257.0,298.0,340.0,384.0
國小,武功國小,116.0,臺北市文山區萬祥里興隆路1段68號,02-2931-4360,25.0038887,121.5404927,1,文山區,台北市,378.0,339.0,305.0,309.0,280.0,280.0,302.0,340.0,357.0
"一般,國小,公立",米倉國小,249.0,新北市八里區龍米路二段129巷1號,02-26182202#232,25.146848,121.445395,1,八里區,新北市,286.0,268.0,281.0,253.0,288.0,301.0,334.0,338.0,357.0
國小,忠孝國小,100.0,臺北市中正區梅花里忠孝東路2段101號,02-2391-8170,25.04293,121.531552,1,中正區,台北市,357.0,320.0,302.0,280.0,329.0,309.0,314.0,317.0,347.0
國小,文湖國小,114.0,臺北市內湖區西康里文湖街15號,02-2658-3515,25.085771,121.5601224,1,內湖區,台北市,414.0,368.0,328.0,306.0,274.0,250.0,281.0,303.0,330.0
